Transacted Price,Area sqm,PropertyAge,Prior Transacted Price,No of years owned,GroundFloor,LowFloor,HighFloor,Penthouse,NewPurchaser,HDBPurchaser,PrivatePurchaser,WestRegion,NorthRegion,NorthEastRegion,East Region,CentralRegion,mrt_dist_meter,sch_dist_meter
1428000,253,13,919226,11.2,0,0,1,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
620000,117,10.8,581348,9.1,0,0,1,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
1380000,250,13.3,852600,12.8,0,0,1,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
850000,117,13.4,578680,11.7,0,0,1,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
872000,120,21.5,608488,19.8,0,0,1,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
480000,124,9,592240,7.3,0,0,1,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
455000,124,8,586872,6.3,0,0,1,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
450000,120,8.5,575520,6.8,0,0,0,1,0,1,0,0,0,1,0,0,735.3040566,552.1320762
468000,117,9,595490,7.3,0,0,0,1,0,0,1,0,0,1,0,0,735.3040566,552.1320762
930000,117,20.5,468000,11.4,0,0,0,1,0,0,1,0,0,1,0,0,735.3040566,552.1320762
940000,107,5.3,855000,3.3,0,1,0,0,0,1,0,0,1,0,0,0,578.0264766,218.0587159
820000,163,11.2,583300,10.8,1,0,0,0,0,0,1,0,0,0,1,0,307.7795929,815.2055634
495000,145,7.7,505900,7.3,1,0,0,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
990000,145,21,495000,13.2,1,0,0,0,0,0,1,0,0,0,1,0,307.7795929,815.2055634
412500,130,10,443600,9.6,1,0,0,0,0,0,1,0,0,0,1,0,307.7795929,815.2055634
968000,130,16.6,412500,6.5,1,0,0,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
830000,148,13.9,546700,13.5,1,0,0,0,0,0,1,0,0,0,1,0,307.7795929,815.2055634
818000,130,14.7,450400,14.2,1,0,0,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
472000,145,9.3,532600,8.9,1,0,0,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
828000,161,11.2,583900,10.8,1,0,0,0,0,0,1,0,0,0,1,0,307.7795929,815.2055634
1200000,161,15.9,828000,4.8,1,0,0,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
405000,111,7.7,472600,7.3,0,1,0,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
690000,111,13,405000,5.3,0,1,0,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
680000,116,13,509500,12.6,0,1,0,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
744000,111,13.4,497500,13,0,1,0,0,0,0,1,0,0,0,1,0,307.7795929,815.2055634
460000,126,9.8,548200,9.4,0,1,0,0,0,0,1,0,0,0,1,0,307.7795929,815.2055634
405000,111,8.4,474500,8,0,1,0,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
655000,116,12.8,511400,12.3,0,1,0,0,0,0,1,0,0,0,1,0,307.7795929,815.2055634
415000,116,10,519300,9.6,0,1,0,0,0,0,1,0,0,0,1,0,307.7795929,815.2055634
443000,126,9,558600,8.5,0,1,0,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
698000,126,11.5,443000,2.5,0,1,0,0,0,0,1,0,0,0,1,0,307.7795929,815.2055634
550000,111,10.7,474500,10.3,0,1,0,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
350000,90,8.6,402500,8,0,1,0,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
450000,90,10.5,350000,2,0,1,0,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
838000,90,15.9,450000,5.4,0,1,0,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
620000,116,12.6,511400,12.1,0,1,0,0,0,0,1,0,0,0,1,0,307.7795929,815.2055634
890000,116,19.1,620000,6.6,0,1,0,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
390000,116,9,519300,8.6,0,1,0,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
440000,116,10.3,390000,1.3,0,1,0,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
940000,116,22.5,440000,12.2,0,1,0,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
838000,111,14.4,479300,13.9,0,1,0,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
830000,90,15.3,405400,14.7,0,1,0,0,0,0,1,0,0,0,1,0,307.7795929,815.2055634
422000,116,9,516300,8.5,0,1,0,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
750000,116,13.2,542300,12.8,0,1,0,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
370000,90,10,411600,9.4,0,1,0,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
620000,90,13,370000,3.1,0,1,0,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
480000,111,9,504500,8.6,0,1,0,0,0,0,1,0,0,0,1,0,307.7795929,815.2055634
570000,111,11.6,480000,2.6,0,1,0,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
890000,111,20,484000,19.6,0,0,1,0,0,0,1,0,0,0,1,0,307.7795929,815.2055634
902000,116,21,529200,20.6,0,0,1,0,0,0,1,0,0,0,1,0,307.7795929,815.2055634
412000,90,10.5,411300,10,0,0,1,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
845000,116,14.3,526100,14,0,0,1,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
630000,90,13.3,417600,12.9,0,0,1,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
868000,90,16,630000,2.6,0,0,1,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
760000,126,13.1,573600,12.7,0,0,1,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
345000,90,9.4,416300,8.9,0,0,1,0,0,0,1,0,0,0,1,0,307.7795929,815.2055634
448000,90,10.6,345000,1.2,0,0,1,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
489000,90,12.3,448000,1.7,0,0,1,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
670000,90,13.5,489000,1.2,0,0,1,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
1020000,116,16.2,534000,15.7,0,0,1,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
880000,116,14.5,542200,14.1,0,0,1,0,0,0,1,0,0,0,1,0,307.7795929,815.2055634
758000,126,11,581600,10.6,0,0,1,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
740000,111,13.3,501100,12.9,0,0,1,0,0,0,1,0,0,0,1,0,307.7795929,815.2055634
367500,90,9.3,419200,8.8,0,0,1,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
455000,116,8.1,547100,7.7,0,0,1,0,0,0,1,0,0,0,1,0,307.7795929,815.2055634
765000,90,14.2,425600,13.8,0,0,1,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
810000,116,14.4,543800,14,0,0,1,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
563000,90,11.9,428600,11.5,0,0,1,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
897000,90,15.3,563000,3.4,0,0,1,0,0,1,0,0,0,0,1,0,307.7795929,815.2055634
795000,128,12.9,587000,12.5,0,0,0,1,0,0,1,0,0,0,1,0,307.7795929,815.2055634
995000,159,14.2,588000,13.7,0,0,0,1,0,1,0,0,0,0,1,0,307.7795929,815.2055634
1030000,158,14.2,598600,13.8,0,0,0,1,0,1,0,0,0,0,1,0,307.7795929,815.2055634
728000,126,12.5,596600,12.1,0,0,0,1,0,1,0,0,0,0,1,0,307.7795929,815.2055634
514000,125,10.1,466800,8.2,1,0,0,0,0,0,1,0,1,0,0,0,1752.045358,472.1554127
585000,125,11.8,514000,1.8,1,0,0,0,0,1,0,0,1,0,0,0,1752.045358,472.1554127
808000,125,17.7,585000,5.8,1,0,0,0,0,1,0,0,1,0,0,0,1752.045358,472.1554127
399999,120,8.3,458600,4.2,0,1,0,0,0,1,0,0,1,0,0,0,1752.045358,472.1554127
590000,120,10.7,399999,2.4,0,1,0,0,0,0,1,0,1,0,0,0,1752.045358,472.1554127
825000,119,14.2,469200,10.5,0,1,0,0,0,1,0,0,1,0,0,0,1752.045358,472.1554127
555000,122,10.6,514712,8.1,0,1,0,0,0,1,0,0,1,0,0,0,1752.045358,472.1554127
700000,122,13.1,555000,2.5,0,1,0,0,0,1,0,0,1,0,0,0,1752.045358,472.1554127
840000,119,14.8,494395,11.3,0,1,0,0,0,1,0,0,1,0,0,0,1752.045358,472.1554127
525000,120,11.4,444800,7.2,0,1,0,0,0,1,0,0,1,0,0,0,1752.045358,472.1554127
780000,120,18.1,461800,14.5,0,1,0,0,0,1,0,0,1,0,0,0,1752.045358,472.1554127
831000,122,14.7,505300,13.2,0,1,0,0,0,0,1,0,1,0,0,0,1752.045358,472.1554127
430000,120,8.1,489000,6.8,0,0,1,0,0,0,1,0,1,0,0,0,1752.045358,472.1554127
645000,120,12.1,505648,9.6,0,0,1,0,0,1,0,0,1,0,0,0,1752.045358,472.1554127
892778,120,21,494000,19.3,0,0,1,0,0,0,1,0,1,0,0,0,1752.045358,472.1554127
710000,122,12.8,515300,11.5,0,0,1,0,0,1,0,0,1,0,0,0,1752.045358,472.1554127
433000,119,9.6,515610,6.8,0,0,1,0,0,1,0,0,1,0,0,0,1752.045358,472.1554127
812500,119,19.8,433000,10.2,0,0,1,0,0,0,1,0,1,0,0,0,1752.045358,472.1554127
868000,122,13.9,517800,12.3,0,0,1,0,0,1,0,0,1,0,0,0,1752.045358,472.1554127
528000,119,9.8,518220,7.3,0,0,1,0,0,1,0,0,1,0,0,0,1752.045358,472.1554127
775000,119,13.6,528000,3.9,0,0,1,0,0,0,1,0,1,0,0,0,1752.045358,472.1554127
597000,120,10.7,513304,8.2,0,0,1,0,0,0,1,0,1,0,0,0,1752.045358,472.1554127
825000,120,20.7,597000,10,0,0,1,0,0,0,1,0,1,0,0,0,1752.045358,472.1554127
410000,122,9.4,520300,7.8,0,0,1,0,0,1,0,0,1,0,0,0,1752.045358,472.1554127
755000,119,13.3,515043,10.3,0,0,1,0,0,0,1,0,1,0,0,0,1752.045358,472.1554127
836000,120,14.6,494200,13.4,0,0,1,0,0,0,1,0,1,0,0,0,1752.045358,472.1554127
540000,119,11.6,523440,8.6,0,0,1,0,0,1,0,0,1,0,0,0,1752.045358,472.1554127
680000,120,12.5,522540,9.9,0,0,1,0,0,1,0,0,1,0,0,0,1752.045358,472.1554127
925000,120,15.3,680000,2.8,0,0,1,0,0,0,1,0,1,0,0,0,1752.045358,472.1554127
595000,120,10.4,497600,6.7,0,0,0,1,0,1,0,0,1,0,0,0,1752.045358,472.1554127
840000,120,14.5,595000,4.1,0,0,0,1,0,1,0,0,1,0,0,0,1752.045358,472.1554127
580000,120,10.1,472800,6.3,0,0,0,1,0,1,0,0,1,0,0,0,1752.045358,472.1554127
575000,168,9.6,547695,8,1,0,0,0,0,0,1,1,0,0,0,0,818.5483394,169.009634
